,text
0,Great stories in this interview with @nas http://t.co/RlRAUkCFtk congrats @tristanwalker.
1,Asana's paid users are starting to grow very quicky . . . http://t.co/0FlnmAti8S
2,@WebBruce adding @moskov who will give an accurate answer.
3,@JDcarlu yes indeed. The company asked to keep that confidential.
4,@cagan thanks Marty!
5,@stevenwalker @pmarca I blame @moskov and will let him explain :-).
6,@manascmenon thanks for the tweet!
7,@rexstjohn Nice review!
8,@BrendanWright15 just a small gesture of inclusion. I wanted women and girls to feel part of it.
9,"@DShankar relatively low volume market, deep domain expertise required, mistakes very costly in both directions."
10,@danbabbles @kanyewest I have the rights for every quote in the book and I paid for them.
11,@bitemyapp thank you!
12,@Ally_Martina @FelicaHorowitz found him and signed him up
13,@MosesOfWatches @bkparikh @joelgascoigne @berolz Good job!
14,http://t.co/hxhjcfZn3E important post from @cdixon
15,Software eats healthcare from @balajis http://t.co/4sAuO9pYzw
16,@kessler @Nas be sure to pick up the 20th anniversary remastering of Illmatic!
17,@VarunJuice Thank you! That is high praise indeed.
18,@zooksm I am glad that you enjoyed it. Thanks for staying up late!
19,Great post from @stevesi http://t.co/QUnAGAs5Du
20,"After years of reading the New York Times Book Review, it's exciting to be in it: http://t.co/EF0tX69jS1"
21,State of Analytics: Speed Trial In The Era of Even Bigger Data | LinkedIn http://t.co/LEGpwbLRPO @optian
22,@Josh_Hagler @SafeLogic_Ray The Hard Thing About Hard Things http://t.co/HJZPp4LhHj
23,@BitcoinKinetics @mims Google doesn't restrict housing expansion to the point where SF is 1/2 as dense a Brooklyn.
24,@4thlettermusic @ThePhatStartup order another round!!!
25,@4thlettermusic @ChrisLyons From crack to rap to corner offices!!!!
26,@ChrisLyons @4thlettermusic created something from nothing i call it magicnomics
27,@ceomarshall Thank you!
28,I will be on @CharlieRoseShow tonight http://t.co/9aOKeJDu62
29,@mattwensing @pmarca that's not where the story starts.
30,"@mattwensing @AaronKlein you obviously didn't read the book, but if you did you would find that your criticisms are off base."
31,"@mattwensing @AaronKlein OK, but that's a funny thing to take away when it opens with ""there is no formula."""
32,@mattwensing @AaronKlein I agree that people shouldn't treat it as a bible. It's certainly not that.
33,I love the new post from @betashop  http://t.co/dXonWX6sUG
34,Here is the @CharlieRoseShow episode that I am on http://t.co/6LLGdB1fRJ
35,Nice @TIME piece on the new @Lytro Illum http://t.co/yrm5ERNyB6
36,"I just decoded “Once again, certain ""cool kid"" companies and the cheerleading analysts are pretending...” @NewsGenius http://t.co/MBqw37Hyyw"
37,"@satishd @newsgenius when the stock option accounting rules originally went into effect, nobody's valuation changed. It's all just so stupid"
38,A startup that actually saves lives: http://t.co/1fexQwCH8w @gautamsivakumar
39,Going from on premise meat to meat as a service (MaaS) @NaithanJones http://t.co/iF7IoaMHfz
40,@trevorcornwell thanks for the kind words!
41,"@sarahmceneaney I have a few that I have written, but just need to finish. I have been a little too busy to do much thinking lately :-)"
42,"@jonsteiman ha! No, Jim Barksdale, former CEO of Netscape."
43,@jonsteiman I agree that Stringer was a much better CEO than Barksdale.
44,@MacLackey thanks! I appreciate it!
45,Great story on the new Foursquare: http://t.co/HPwLf1jBft
46,Best book party ever . . . thanks @MichaelOvitz @MCHammer @Nas @kanyewest @SteveStoute http://t.co/1eHyxjc4d9
47,Some excellent points from @fredwilson  http://t.co/XINkcUMdNO
48,@aonetti @nntaleb only if you listen to your editors.
49,@aonetti @nntaleb my advice would to be refrain from writing if you feel like you have to take direction from editors. You will regret it.
50,"@DanLobbies @nntaleb What if it's not? By the way, it's not."
51,I am looking forward to getting my @soylent in the mail this month: http://t.co/iTp21bbOZZ
52,"First good thing to come out of the Clipper owner incident: http://t.co/sjGoug1iz4 great artist, great song, great video."
53,@rianliebenberg @SFarchna here it is http://t.co/hNEAVrkMgF
54,"@T68 @soylent tastes like you think pancake batter should, but doesn't actually."
55,Great story about a great entrepreneur http://t.co/dJR8oBC4Py @optian
56,Interesting piece by @benpopper on Verizon's very complex regulatory strategy: http://t.co/Wnubg3Rlyu
57,Great discussion between @balajis and Larry Summers: https://t.co/z0kIGWMyVy
58,@ayouti @pmarca @cmschroed I will let you slide on the copyright thing :-).
59,@pjwarner it's just a small gesture towards inclusion. I wanted to make sure that girls who read it felt like it was for them.
60,@naturalstacks Thank you!
61,@janbaudewig 1999 is what made me write it :-).
62,Nice piece by @cmschroed on the startup scene in . . . Iran! http://t.co/UQlwNFtVJH
63,@Tehranix That is awesome. I probably should have it translated into Farsi.
64,"@Tehranix @mahbodmoghadam actually, we should probably just publish the Farsi version directly on @RapGenius"
65,@StuGoulden @AndrewEccles Thank you!
66,"@MattDennebaum @jinen Yes, it is a masterpiece! We will be screening it at @a16z in August."
67,@JakimHartford to be inclusive and make sure that girls who read the book felt like it was written for them.
68,@threeo http://t.co/8NJFIBnSjT
69,@chrisgrayson @sarahkunst @GregGoodfried @mahbodmoghadam @pmarca http://t.co/W98YaVM0Da
70,. @semil @MikeIsaac @RapGenius this was all Tom and Ilan not me. They made the hard decision.
71,"@karaswisher @JoshConstine Tom knew my opinion on this as as he always does. If you want to call that pressure, fine. I call it conversation"
72,@John_W_Power @semil @MikeIsaac @RapGenius that's ridiculous. It was one guy who was recovering from a brain tumor. How is that culture?
73,@waqasaday it is being translated into Chinese. No takers for Arabic yet.
74,@LAlienated @JoshConstine @karaswisher I am not concerned about looks.
75,"@LAlienated @JoshConstine @karaswisher No, founder with a brain tumor that altered his behavior. Needed to be careful. Twitter idiot."
76,@jmagnuss Thanks! I am glad that you like it!
77,@FABNEWYORK I think Ali no question. Similar to the Rumble in the Jungle matchup with Ali vs. Foreman. Ali had all the tools to beat Tyson .
78,@FABNEWYORK . . 1. Speed to beat him to the punch 2. Defense to keep from getting hit with a big shot 3. Great chin 4. Ability to frustrate
79,@mdcranney teaching enterprise sales: http://t.co/7YCW9wLicW
80,"@RezaSMahani @dubilman plus, both endorse profanity."
81,"@imkyles @meganrosedickey @jyarow ""I've been tried, it's the truth, since turn out the lights from the World Class Wrecking Cru"""
82,@dihaynes @pmarca make sure you read all 17 parts of Marc's tweet to understand his point.
83,"@dihaynes @pmarca yes, an important but separate issue."
84,Congratulations @Wealthfront on a billion! https://t.co/FqErgaZqUC
85,@BootstrapWarior @balajis @RapGenius That is what everyone used to say about facebook!
86,"Excited to talk with @LarsLuv at @GLIDEsf , a great San Francisco institution, June 25 5:30PM -- come if you can! http://t.co/3guhaWcQdI …"
87,@wallinex thank you!
88,I am very fired up about the inverse of virtualization as @Peter_Levine describes: http://t.co/YrDbzYclzk
89,"@iTrendTV @Peter_Levine It's not new, but it's new for developers to have such as simplified view into massive quantities of commodity hw."
90,@pdeyhim @Peter_Levine that's why the product is so awesome. That statement is not only true; it's the value proposition.
91,Very unusual placement for a new co @Okta Named a Leader by Gartner in IDaaS Magic Quadrant. Read the Report &gt; http://t.co/WvZx5nXv9Q #IDaaS
92,@maineONEder right!
93,@Bill_Gross @tomstandage thanks! Tom is a great interviewer!
94,@Bobmorevc @NatiTal @scientre @simonbayly I meant that you can apply computer science to biology now. I didn't mean to start a rivalry.
95,@Bobmorevc @NatiTal @scientre @simonbayly Specifically to biological research.
96,Happy to be married to @FelicaHorowitz for 25 years. http://t.co/Ik4BMt3452
97,@trkfhm @FelicaHorowitz Thanks!
98,Honored that @4thlettermusic wrote this and is donating the video proceeds to @ajws. He is the new Jean Valjean: http://t.co/e6zH8fCCmw
99,@jdahline @FelicaHorowitz Ha! No that was like 20 dates in.
100,@FelixReznik @mdudas @mcuban that quote was incorrect. I was explaining why it was easy to build a co in SV not that you couldn't elsewhere.
101,@pmarca @mdudas the context was every type of executive. It doesn't even make sense as quoted.
102,@EghosaO @mdudas @semil I can't believe you guys are arguing about something that I didn't say. You can't take a sentence out of a paragraph
103,@dbkahn @mdudas let's take a sentence out of a paragraph so that it loses all its meaning then attack the author on Twitter.
104,"@mdudas @EghosaO @semil the funny thing is that I'm not skeptical. I just tried to explain SV success, because he asked me. #thisiswhyiblog"
105,"@FelixReznik @mdudas @mcuban yes, but I actually said ""type of executive"""
106,"@dbkahn @mdudas easy to build a company in sv, because every type of exec is there."
107,"@mprioleau @pmarca @mdudas i didn't generalize. I said ""type of"" executive. Reporter dropped 2 words to tell his own story/lie."
108,@rayno @mprioleau @pmarca @mdudas No! Wait! I am working. Look: http://t.co/BkUyUh8d6L
109,@TeeeKaeee Soon!
110,@pmarca on how to create the next Silicon Valley http://t.co/tqmkCKzsWj
111,@QD3 direct message me
112,@pmarca I feel the same way.
